N	O	Ar	He	H	C	totall
0.755344995	0.231594452	0.012884258	7.24254E-07	0	0.000175572	1.99867E-05
0.755344995	0.231594452	0.012884258	7.24254E-07	0	0.000175572	1.70673E-05
0.755345817	0.231593616	0.012884272	7.24255E-07	0	0.000175571	1.45524E-05
0.755343472	0.231595998	0.012884231	7.24253E-07	0	0.000175574	1.23886E-05
0.755338239	0.231601324	0.012884141	7.24247E-07	0	0.000175572	1.05302E-05
0.755366029	0.231573085	0.012884586	7.2427E-07	0	0.000175576	8.93582E-06
0.755060035	0.231885538	0.012878198	7.23896E-07	0	0.000175506	7.57492E-06
0.755457456	0.231664401	0.012877415	7.28184E-07	0	0	6.37529E-06
0.755514289	0.231621431	0.012863542	7.38051E-07	0	0	5.33353E-06
0.755435369	0.231735208	0.012828673	7.49811E-07	0	0	4.46524E-06
0.755436809	0.231770978	0.012791449	7.64816E-07	0	0	3.73784E-06
0.755460484	0.231797583	0.01274115	7.83617E-07	0	0	3.12903E-06
0.755573484	0.231748703	0.012677006	8.07236E-07	0	0	2.6187E-06
0.755802248	0.231602046	0.012594869	8.36516E-07	0	0	2.18978E-06
0.756214088	0.23129124	0.0124938	8.72406E-07	0	0	1.82944E-06
0.756836634	0.230791252	0.012371198	9.16078E-07	0	0	1.5271E-06
0.757727707	0.230043304	0.01222802	9.68165E-07	0	0	1.27392E-06
0.758864066	0.229075062	0.012059842	1.03032E-06	0	0	1.06203E-06
0.760283461	0.227850708	0.011864729	1.10313E-06	0	0	8.85218E-07
0.761807103	0.226549385	0.011642324	1.18817E-06	0	0	7.37404E-07
0.763708108	0.224905666	0.011384938	1.28754E-06	0	0	6.14628E-07
0.769726556	0.219759212	0.010512582	1.65004E-06	0	0	3.72227E-07
0.781629059	0.209909409	0.008458686	2.84571E-06	0	0	1.55331E-07
0.787398523	0.206340464	0.006255738	5.27479E-06	0	0	6.52786E-08
0.784229684	0.211088441	0.0046728	9.07405E-06	0	0	3.10939E-08
0.775326865	0.220940641	0.003718396	1.40983E-05	0	0	1.70018E-08
0.763662096	0.233233485	0.00308404	2.03793E-05	0	0	1.02885E-08
0.750716847	0.246638038	0.002617108	2.80071E-05	0	0	6.69048E-09
0.737029189	0.260681989	0.002251712	3.71104E-05	0	0	4.58466E-09
0.722785955	0.275210265	0.00195597	4.78108E-05	0	0	3.26949E-09
