0.2 0.2554
0.214 0.3263
0.22899999999999998 0.4135
0.245 0.5062
0.263 0.6103
0.282 0.7811
0.302 0.9234
0.324 1.181
0.34700000000000003 1.482
0.37200000000000005 1.704
0.39799999999999996 2.125
0.42700000000000005 2.5989999999999998
0.457 3.3080000000000003
0.49 3.835
0.525 4.604
0.562 5.3839999999999995
0.603 6.817
0.6459999999999999 7.937
0.6920000000000001 9.538
0.741 11.32
0.794 13.26
0.851 15.5
0.912 17.62
0.977 20.36
1.047 22.83
1.122 26.34
1.202 30.17
1.288 32.6
1.38 36.0
1.479 38.6
1.585 41.7
1.6980000000000002 41.39
1.82 42.58
1.95 43.34
2.089 43.56
2.239 44.82
2.399 42.43
2.57 40.8
2.7539999999999996 38.53
2.951 36.02
3.162 33.95
3.388 31.15
3.6310000000000002 28.08
3.89 25.58
4.169 22.59
4.467 20.49
4.7860000000000005 18.2
5.129 16.06
5.495 14.06
5.888 12.53
6.31 10.84
6.761 9.524
7.244 8.318999999999999
7.7620000000000005 7.254
8.318 6.234
8.913 5.395
9.55 4.64
10.232999999999999 3.967
10.965 3.406
11.749 2.907
12.589 2.468
13.49 2.095
14.454 1.775
15.488 1.499
16.596 1.266
17.783 1.062
19.055 0.8963
20.417 0.7493
21.878 0.6274
23.441999999999997 0.5237
25.119 0.4375
26.915 0.3647
28.84 0.3048
30.903000000000002 0.2531
33.113 0.2108
35.481 0.1752
38.019 0.1455
40.738 0.1209
43.652 0.1003
46.773999999999994 0.08313
50.119 0.0689
53.703 0.05705
57.544 0.04723
61.66 0.039060000000000004
66.069 0.032330000000000005
70.795 0.026739999999999996
75.858 0.022119999999999997
81.283 0.01828
87.096 0.01511
93.325 0.012490000000000001
100.0 0.010320000000000001
